dataset             age           gender        education    race                                          apoe            mmse         cdr         moca
OASIS_AD(n=193)     76.01±8.01    108 (55.96%)  14.68±3.09   whi:35 blk:9 ans:0 ind:0 haw:0 mix:0 ^        102 (56.983%)   23.84±4.17   0.77±0.33   NA
OASIS_OT(n=22)      72.64±8.77    16 (72.73%)   15.00±2.91   whi:6 blk:0 ans:0 ind:0 haw:0 mix:0 ^         8 (47.059%)     24.14±4.69^  0.75±0.47   NA
p-val               <0.001        <0.001        <0.001       0.810                                         <0.001          <0.001       <0.001      NA
----                ----          ----          ----         ----                                          ----            ----         ----        ----
FHS_NC(n=212)       73.37±9.63    112 (52.83%)  1.79±0.96    whi:207 blk:2 ans:1 ind:0 haw:0 mix:0 ^       42 (20.192%)^   28.14±1.72^  NA          NA
FHS_MCI(n=75)       76.23±6.83    34 (45.33%)   1.59±0.98    whi:73 blk:0 ans:1 ind:0 haw:0 mix:0 ^        17 (23.611%)^   27.22±2.01^  NA          NA
FHS_AD(n=17)        78.82±7.20    4 (23.53%)    1.82±0.92    whi:17 blk:0 ans:0 ind:0 haw:0 mix:0          7 (43.750%)^    24.00±2.13^  NA          NA
FHS_OT(n=9)         79.44±4.17    5 (55.56%)    1.00±1.15    whi:9 blk:0 ans:0 ind:0 haw:0 mix:0           0 (0.000%)      22.00±2.45^  NA          NA
p-val               0.005         0.103         0.059        0.938                                         0.057           <0.001       NA          NA
----                ----          ----          ----         ----                                          ----            ----         ----        ----
Stanford_NC(n=134)  68.77±7.62    61 (45.52%)   17.27±2.47^  NA                                            NA              NA           NA          27.43±2.23^
Stanford_MCI(n=35)  70.16±8.41    26 (74.29%)   16.60±2.58   NA                                            NA              NA           NA          24.00±3.14
Stanford_AD(n=0)    NA            NA            NA           NA                                            NA              NA           NA          NA
Stanford_OT(n=13)   73.42±7.81    8 (61.54%)    16.77±2.15   NA                                            NA              NA           NA          16.69±4.75
p-val               0.103         0.008         0.324        NA                                            NA              NA           NA          <0.001
----                ----          ----          ----         ----                                          ----            ----         ----        ----
